_ - uri,_ - rank,_ - name,_ - country,_ - profits,_ - marketValue,_ - ceo,_ - revenue,_ - headquarters,_ - industry,_ - state
krung-thai-bank,846,Krung Thai Bank,Thailand,802.8,6940,Krairit Euchukanonchai,4856,Thailand,Regional Banks,
kubota,508,Kubota,Japan,1198.1,19639,Masatoshi Kimata,13709,Japan,Heavy Equipment,
kuehne-plus-nagel,788,Kuehne + Nagel,Switzerland,702.1,17156,Detlef Trefzger,17376,Switzerland,Other Transportation,
kuwait-finance-house,1026,Kuwait Finance House,Kuwait,496.2,8211,Mazen El-Nahedh,3360,Kuwait,Regional Banks,
kuwait-projects,1908,Kuwait Projects,Kuwait,176.2,2683,Hamad Al Ahmad Al Sabah,1867,Kuwait,Investment Services,
kweichow-moutai,668,Kweichow Moutai,China,2520.1,47864,Shuang Luo,4892,China,Beverages,
kyocera,531,Kyocera,Japan,837.6,18720,Tetsuo Kuba,12541,Japan,Electronics,
kyushu-electric-power,1108,Kyushu Electric Power,Japan,130.6,4780,Masayoshi Nuki,15362,Japan,Electric Utilities,
kyushu-financial-group,1072,Kyushu Financial Group,Japan,812.3,2640,Takahiro Kai,,Japan,Regional Banks,
l-brands,717,L Brands,United States,1252,22030,Leslie Wexner,12154,Ohio,Apparel/Footwear Retail,Ohio
loreal-group,198,L'Oréal Group,France,3656.6,102872,Jean-Paul Agon,28008,France,Household/Personal Care,
l-3-communications,1251,L-3 Communications,United States,-240,9615,Michael Strianese,11194,New York,Aerospace & Defense,New York
largan-precision,1423,LARGAN Precision,Taiwan,760.7,9300,En Lin,1759,Taiwan,,
lg-chem,564,LG Chem,South Korea,1018.7,17758,Jin-Soo Park,17853,South Korea,Specialized Chemicals,
lg-corp,825,LG Corp,South Korea,834.2,10763,Hyun-He Ha,8171,South Korea,Household Appliances,
lg-display,660,LG Display,South Korea,854,8107,Sang-Beom Han,25078,South Korea,Electronics,
lg-electronics,814,LG Electronics,South Korea,109.9,8827,David Jung,49928,South Korea,Consumer Electronics,
lg-household-health-care,1404,LG Household & Health Care,South Korea,406.7,13697,Suk-Yong Cha,4708,South Korea,Household/Personal Care,
lg-international,1915,LG International,South Korea,-208,1248,Chi-Ho Song,11684,South Korea,Trading Companies,
lg-uplus,1712,LG Uplus,South Korea,310.5,4144,Young-Soo Kwon,9538,South Korea,Telecommunications services,
lig-insurance,1518,LIG Insurance,South Korea,178.5,1631,Jong-Hee Yang,7950,South Korea,Property & Casualty Insurance,
lkq,1258,LKQ,United States,423.2,10187,Robert Wagman,7193,Illinois,Auto & Truck Parts,Illinois
labcorp,957,LabCorp,United States,436.1,12432,David King,8680,North Carolina,Healthcare Services,North Carolina
lafarge-holcim,556,LafargeHolcim,Switzerland,-1525.6,30263,Eric Olsen,24552,Switzerland,Construction Materials,
lam-research,1031,Lam Research,United States,786.4,12814,Martin Anstice,5827,California,Semiconductors,California
land-securities-group,802,Land Securities Group,United Kingdom,3233.3,12238,Robert Noel,1272,United Kingdom,Real Estate,
larsen-toubro,505,Larsen & Toubro,India,733.4,17690,Anil Manibhai,15123,India,Construction Services,
las-vegas-sands,432,Las Vegas Sands,United States,1774.5,37247,Sheldon Adelson,11393,Nevada,Casinos & Gaming,Nevada
latam-airlines,1506,Latam Airlines,Chile,-219.5,3856,Enrique Cueto Plaza,9718,Chile,Airline,
latour-investment,1896,Latour Investment,Sweden,488,6683,Jan Svensson,935,Sweden,,
